Coverage probabilities:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
90_90,0.9337,0.9345,0.9332,0.9395,0.941,0.9435,0.9409,0.9392,0.9397
200_200,0.944,0.9427,0.9417,0.943,0.9448,0.9439,0.9436,0.9439,0.9467
30_60,0.9124,0.9132,0.9053,0.9339,0.9163,0.935,0.9322,0.9355,0.9239
60_30,0.9116,0.9136,0.9188,0.9135,0.9279,0.9331,0.937,0.9202,0.9299
30_90,0.915,0.9202,0.9141,0.9256,0.9102,0.9411,0.9382,0.9338,0.9224
90_30,0.9164,0.922,0.9162,0.9121,0.9328,0.9312,0.9407,0.9211,0.9375
30_200,0.9101,0.9143,0.9186,0.9372,0.9094,0.9449,0.9291,0.9391,0.9153
200_30,0.9179,0.9167,0.919,0.908,0.9319,0.9313,0.9435,0.9233,0.9335
16_30,0.8946,0.8911,0.9087,0.909,0.8781,0.928,0.9259,0.9193,0.9094
30_16,0.8969,0.8899,0.9049,0.8793,0.9174,0.9249,0.9301,0.9077,0.9079
16_60,0.8905,0.886,0.9096,0.9218,0.8765,0.929,0.9294,0.9258,0.9034
60_16,0.8904,0.8908,0.9084,0.8741,0.9201,0.9309,0.9291,0.9103,0.9184
16_90,0.8811,0.8901,0.9075,0.9238,0.8803,0.9394,0.9244,0.9297,0.9117
90_16,0.8866,0.8935,0.9074,0.8762,0.9224,0.9226,0.9295,0.912,0.9258
16_200,0.878,0.8865,0.9098,0.9183,0.8779,0.9383,0.9208,0.9202,0.911
200_16,0.8791,0.8909,0.9141,0.8828,0.9206,0.9191,0.9404,0.9097,0.9148

student
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9135,0.8746,0.7302,0.8981,0.8901,0.7963,0.8009,0.7862,0.7784
30_30,0.9265,0.9062,0.7484,0.9257,0.9263,0.8228,0.827,0.8198,0.8072
60_60,0.9341,0.9283,0.8551,0.9387,0.9359,0.8994,0.8937,0.887,0.8879
90_90,0.9434,0.9367,0.897,0.9453,0.9467,0.9273,0.9243,0.9164,0.9219
200_200,0.9488,0.9435,0.9326,0.9453,0.9459,0.9416,0.9415,0.9369,0.9419
30_60,0.9307,0.9185,0.7849,0.938,0.9324,0.8995,0.8301,0.8855,0.8174
60_30,0.9339,0.9171,0.798,0.9282,0.9359,0.8215,0.8963,0.8213,0.883
30_90,0.9347,0.9219,0.8071,0.9296,0.9282,0.9218,0.8349,0.907,0.8214
90_30,0.9368,0.925,0.8084,0.9325,0.9359,0.829,0.9215,0.8283,0.9083
30_200,0.9314,0.924,0.8124,0.9396,0.9276,0.94,0.8182,0.9255,0.8212
200_30,0.9409,0.925,0.8128,0.9318,0.9345,0.8265,0.9405,0.8245,0.9199
16_30,0.9201,0.8833,0.732,0.9167,0.8947,0.8214,0.8011,0.803,0.7859
30_16,0.9208,0.8873,0.7445,0.8969,0.9234,0.8008,0.8208,0.7876,0.7944
16_60,0.9243,0.8852,0.7691,0.9263,0.899,0.889,0.7999,0.8697,0.7913
60_16,0.9197,0.8942,0.7708,0.9035,0.9245,0.805,0.8924,0.7933,0.868
16_90,0.9274,0.8912,0.7709,0.9268,0.9074,0.9217,0.7947,0.8905,0.7992
90_16,0.9201,0.8972,0.7821,0.905,0.925,0.8018,0.9111,0.7918,0.8875
16_200,0.9228,0.8997,0.7943,0.9281,0.9036,0.9311,0.8056,0.8961,0.7925
200_16,0.9287,0.9014,0.7904,0.9101,0.927,0.7998,0.9354,0.8059,0.8923

