Coverage probabilities:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
200_200,0.9372,0.9269,0.9111,0.9335,0.9293,0.9128,0.9133,0.9203,0.9188
30_60,0.9144,0.9072,0.8905,0.9215,0.9097,0.8993,0.8932,0.9018,0.8857
60_30,0.9131,0.9102,0.8949,0.908,0.9224,0.8987,0.9023,0.887,0.9042
30_90,0.9116,0.9067,0.8872,0.9269,0.9035,0.9053,0.892,0.9096,0.8903
90_30,0.9163,0.9045,0.8934,0.9074,0.9253,0.8959,0.907,0.887,0.9065
30_200,0.9071,0.9044,0.8844,0.9209,0.9011,0.9137,0.8953,0.912,0.8814
200_30,0.9088,0.903,0.8778,0.8991,0.9232,0.8938,0.9158,0.888,0.9144
16_30,0.8993,0.9008,0.8883,0.9112,0.8853,0.8999,0.8984,0.8917,0.8815
30_16,0.8912,0.8998,0.8881,0.8902,0.9105,0.8895,0.8991,0.878,0.8955
16_60,0.8874,0.8862,0.8834,0.9152,0.8837,0.8948,0.888,0.8994,0.869
60_16,0.8813,0.892,0.8784,0.878,0.913,0.8904,0.8978,0.8757,0.8994
16_90,0.887,0.8862,0.8771,0.9206,0.8797,0.9017,0.8846,0.9046,0.8747
90_16,0.8809,0.8897,0.8757,0.8766,0.9213,0.8864,0.9027,0.8755,0.8995
16_200,0.8736,0.8784,0.871,0.9101,0.8752,0.9114,0.8768,0.8982,0.8807
200_16,0.8772,0.8842,0.8701,0.873,0.9052,0.8845,0.9104,0.8678,0.9002

student
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.912,0.8885,0.8221,0.9026,0.8985,0.864,0.8574,0.8507,0.8513
30_30,0.9273,0.9156,0.8605,0.9201,0.9245,0.8767,0.8736,0.874,0.8713
60_60,0.9364,0.9329,0.8978,0.9363,0.9292,0.904,0.9061,0.9063,0.9005
90_90,0.9453,0.9346,0.9137,0.9376,0.9346,0.9154,0.9131,0.9216,0.9131
200_200,0.943,0.9363,0.9251,0.9422,0.9403,0.9261,0.9262,0.9321,0.9292
30_60,0.9349,0.9222,0.8744,0.9318,0.9263,0.9029,0.8784,0.9004,0.8748
60_30,0.9332,0.9205,0.8783,0.9291,0.9333,0.8736,0.8989,0.8747,0.9028
30_90,0.9336,0.9224,0.8782,0.9337,0.9273,0.9117,0.8779,0.9127,0.8753
90_30,0.9312,0.9223,0.88,0.9261,0.9355,0.8721,0.915,0.875,0.9098
30_200,0.9314,0.9261,0.8798,0.9332,0.9297,0.9246,0.8801,0.9229,0.8779
200_30,0.9328,0.9255,0.8749,0.9274,0.9316,0.881,0.9272,0.8813,0.9214
16_30,0.9215,0.9034,0.8319,0.9182,0.9078,0.8812,0.8732,0.864,0.8604
30_16,0.9174,0.9025,0.8379,0.9131,0.9177,0.8609,0.8816,0.8547,0.8637
16_60,0.9216,0.9001,0.8595,0.9262,0.9125,0.9009,0.8692,0.889,0.8576
60_16,0.9194,0.9065,0.857,0.9084,0.9247,0.8704,0.8994,0.8629,0.8923
16_90,0.923,0.9072,0.8621,0.9309,0.9121,0.9098,0.8665,0.9036,0.8631
90_16,0.9179,0.9055,0.8597,0.9075,0.9267,0.8654,0.9084,0.8688,0.8966
16_200,0.9225,0.9078,0.8584,0.927,0.9136,0.922,0.8648,0.9052,0.8754
200_16,0.927,0.9095,0.862,0.9081,0.9224,0.8712,0.9217,0.865,0.9074

