Skew matrix:

norm
0.2,0.5,1
16,3.43893129770992,14.1304347826087,NA
30,3.35265700483092,7.87234042553191,NA
60,2.45023696682464,4.77966101694915,NA
90,2.18627450980392,4.07438016528926,591
200,1.855,2.49704142011834,7.44262295081967

basic
0.2,0.5,1
16,2.73248407643312,23.2325581395349,NA
30,3.08968609865471,17.7272727272727,NA
60,2.56930693069307,8.28378378378378,NA
90,2.42408376963351,6.49397590361446,NA
200,2.08602150537634,3.5234375,33.2352941176471

perc
0.2,0.5,1
16,38.1190476190476,24.7142857142857,271.5
30,18.1475409836066,8.20353982300885,6.312
60,8.22093023255814,5.0530303030303,3.98051948051948
90,5.66355140186916,4.52845528455285,3.22297297297297
200,3.2112676056338,2.69461077844311,2.02139037433155

bca
0.2,0.5,1
16,2.49853372434018,2.40983606557377,8.46376811594203
30,1.56104651162791,1.40579710144928,1.48301886792453
60,1.16403785488959,1.07120743034056,1.23247232472325
90,1.03654485049834,1.10472972972973,1.09923664122137
200,0.926315789473684,0.959183673469388,0.918727915194346

student
0.2,0.5,1
16,1.01547987616099,0.666666666666667,0.241357636706474
30,1.15328467153285,0.843434343434343,0.234708392603129
60,1.02941176470588,0.842424242424242,0.442090395480226
90,0.916083916083916,0.927586206896552,0.576271186440678
200,0.976377952755906,0.867796610169492,0.858490566037736

BEL
0.2,0.5,1
16,11.7402597402597,2.86666666666667,9.33333333333333
30,12.3125,0.354838709677419,1.31609195402299
60,0.25748502994012,0.945525291828794,1.22362869198312
90,0.84,1.15254237288136,1.23348017621145
200,0.964601769911504,1.125,1.03149606299213

